frame,root x,root y,root z
730,0.282384,0.904419,4.391996
731,0.286578,0.903708,4.396023
732,0.290849,0.902975,4.400077
733,0.295194,0.902193,4.404146
734,0.299598,0.901347,4.408212
735,0.304066,0.900464,4.412287
736,0.3086,0.899576,4.416385
737,0.313204,0.89871,4.420518
738,0.317882,0.897898,4.424699
739,0.322598,0.897126,4.428934
740,0.327342,0.896368,4.433213
741,0.332156,0.895634,4.437527
742,0.337083,0.894931,4.441867
743,0.342165,0.89427,4.446223
744,0.347444,0.893658,4.450587
745,0.352894,0.893073,4.454957
746,0.358476,0.892502,4.459343
747,0.364213,0.891972,4.463744
748,0.370128,0.89151,4.468164
749,0.376244,0.89114,4.472604
750,0.382585,0.89089,4.477066
751,0.389253,0.89076,4.481628
752,0.396251,0.890731,4.486304
753,0.403451,0.890794,4.491
754,0.410724,0.890944,4.495622
755,0.41794,0.891174,4.500076
756,0.424973,0.891478,4.504268
757,0.431827,0.891885,4.50816
758,0.438605,0.892407,4.511818
759,0.445328,0.893009,4.515309
760,0.452015,0.893656,4.518696
761,0.458685,0.894315,4.522045
762,0.465358,0.894949,4.525419
763,0.472094,0.895583,4.528802
764,0.478889,0.89625,4.532137
765,0.485667,0.896927,4.535434
766,0.492354,0.897594,4.5387
767,0.498873,0.898228,4.541945
768,0.505148,0.898809,4.545177
769,0.511156,0.899325,4.548392
770,0.516952,0.89979,4.551582
771,0.52258,0.900223,4.554751
772,0.528085,0.900642,4.557901
773,0.533513,0.901066,4.561036
774,0.538907,0.901513,4.564159
775,0.54425,0.901995,4.567275
776,0.5495,0.902498,4.570382
777,0.554673,0.903006,4.573473
778,0.559782,0.903503,4.576544
779,0.56484,0.90397,4.579588
780,0.569862,0.904393,4.582599
781,0.574849,0.904781,4.585572
